D00043	Isoflurophate
D09783	Tofacitinib citrate (JAN/USAN) &lt;JP/US&gt;
D09784	Garomefrine hydrochloride (JAN)
D09786	Topiroxostat (JAN/INN) &lt;JP&gt;
D09789	Kirenidipine hydrochloride (JAN)
D09791	Arbaclofen (USAN)
D09794	Norepinephrine hydrochloride (JAN)
D09796	Hydrocortisone caproate (JAN)
D09797	Cargutocin (INN/JAN)
D09801	Giractide acetate (JAN)
D09808	Carbinoxamine diphenyldisulfonate (JAN)
D09813	Lenalidomide hydrate (JAN) &lt;JP&gt;
D09817	Darexaban maleate (JAN)
D09819	Chlorpromazine tannate (JAN)
D09820	Vasopressin tannate (JAN)
D09822	Theosalicin (JAN)
D09824	Domitroban calcium hydrate (JAN)
D09833	Levosemotiadil fumarate (JAN)
D09834	Levormeloxifene fumarate (JAN)
D09835	Zanapezil fumarate (JAN)
D09837	Penaprazole sodium hydrate (JAN)
D09838	Broizine (JAN)
D09842	dl-Methylephedrine saccharinate (JAN)
D09843	Beradilol monoethyl maleate (JAN)
D09845	Montirelin hydrate (JAN)
D09847	Metildigoxin (INN)
D09850	Linazolast (JAN)
D09864	Amuvatinib (USAN/INN)
D09865	Amuvatinib hydrochloride (USAN)
D09866	Atopaxar (USAN)
D09867	Atopaxar hydrobromide (USAN)
D09868	Alvocidib (USAN/INN)
D09869	Avagacestat (USAN)
D09870	Bavisant (USAN/INN)
D09871	Bavisant dihydrochloride (USAN)
D09874	Benralizumab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D09876	Cariprazine hydrochloride (JAN/USAN) &lt;US&gt;
D09877	Carlumab (USAN) Monoclonal antibody
D09878	Cenicriviroc (USAN/INN)
D09879	Cenicriviroc mesylate (USAN)
D09881	Cobicistat (JAN/USAN/INN) &lt;US&gt;
D09883	Dacomitinib (INN)
D09886	Dexpramipexole (USAN/INN)
D09887	Dexpramipexole dihydrochloride (USAN)
D09888	Drozitumab (USAN/INN) Monoclonal antibody
D09889	Dulaglutide (USAN/INN) &lt;JP/US&gt;
D09890	Edivoxetine (USAN/INN)
D09891	Edivoxetine hydrochloride (USAN)
D09893	Eliglustat (USAN/INN)
D09894	Eliglustat tartrate (JAN/USAN) &lt;JP/US&gt;
D09895	Emepepimut-S (USAN)
D09896	Enavatuzumab (USAN/INN) Monoclonal antibody
D09897	Enokizumab (USAN/INN) Monoclonal antibody
D09899	Erteberel (USAN/INN)
D09900	Eteplirsen (USAN/INN) &lt;US&gt; Antisense oligonucleotide
D09901	Etrolizumab (USAN/INN) Monoclonal antibody
D09903	Fluciclatide F 18 (USAN/INN)
D09907	Fulranumab (USAN/INN) Monoclonal antibody
D09908	Ganitumab (USAN/INN) Monoclonal antibody
D09909	Gataparsen (USAN/INN) Antisense oligonucleotide
D09910	Gataparsen sodium (USAN) Antisense oligonucleotide
D09911	Gevokizumab (USAN/INN) Monoclonal antibody
D09912	Glembatumumab vedotin (USAN) Antibody-drug conjugate
D09913	Iniparib (USAN/INN)
D09915	Irosustat (USAN/INN)
D09916	Ivacaftor (USAN/INN) &lt;US&gt;
D09917	Latrepirdine (USAN/INN)
D09918	Latrepirdine dihydrochloride (USAN)
D09919	Lenvatinib (USAN/INN)
D09920	Lenvatinib mesylate (USAN) &lt;JP/US&gt;
D09921	Lesinurad (USAN/INN) &lt;US&gt;
D09922	Lesinurad sodium (USAN)
D09923	Letaxaban (USAN/INN)
D09925	Linsitinib (USAN/INN)
D09926	Icrucumab (USAN/INN) Monoclonal antibody
D09927	Lorvotuzumab mertansine (USAN/INN) Antibody-drug conjugate
D09929	Maraciclatide (USAN/INN)
D09930	Mavrilimumab (USAN/INN) Monoclonal antibody
D09931	Mibampator (USAN/INN)
D09932	Moxetumomab pasudotox (USAN/INN) &lt;US&gt; Antibody-drug conjugate
D09933	Naronapride (USAN/INN)
D09934	Naronapride dihydrochloride (USAN)
D09935	Navitoclax (USAN/INN)
D09936	Navitoclax dihydrochloride (USAN)
D09937	Giractide (INN)
D09938	Nivocasan (USAN)
D09939	Olaratumab (USAN/INN) &lt;US&gt; Monoclonal antibody
D09941	Onartuzumab (USAN/INN) Monoclonal antibody
D09943	Oxelumab (USAN/INN) Monoclonal antibody
D09944	Ozoralizumab (USAN)
D09945	Pegdinetanib (USAN/INN)
D09946	Peginesatide (USAN/INN)
D09947	Peginesatide acetate (JAN/USAN)
D09948	Plecanatide (USAN/INN) &lt;US&gt;
D09949	Pomaglumetad methionil (USAN)
D09950	Ponatinib (USAN/INN)
D09951	Ponatinib hydrochloride (JAN/USAN) &lt;JP/US&gt;
D09953	Pridopidine (USAN/INN)
D09954	Pridopidine hydrochloride (USAN)
D09955	Quizartinib (USAN/INN)
D09956	Quizartinib dihydrochloride (USAN) &lt;JP&gt;
D09959	Ruxolitinib (USAN/INN)
D09960	Ruxolitinib phosphate (JAN/USAN) &lt;JP/US&gt;
D09961	Samalizumab (USAN/INN) Monoclonal antibody
D09964	Almorexant (INN)
D09967	Secukinumab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D09968	Taprenepag (USAN/INN)
D09969	Taprenepag isopropyl (USAN)
D09970	Tofacitinib (USAN)
D09972	Telapristone acetate (USAN)
D09973	Telotristat (USAN/INN)
D09974	Telotristat ethyl (USAN) &lt;US&gt;
D09975	Telotristat etiprate (USAN)
D09976	Temanogrel (USAN/INN)
D09977	Temanogrel hydrochloride (USAN)
D09978	Tofogliflozin (USAN) &lt;JP&gt;
D09979	Tralokinumab (USAN/INN) Monoclonal antibody
D09980	Trastuzumab emtansine (USAN/INN) &lt;JP/US&gt; Antibody-drug conjugate
D09981	Ulimorelin (USAN/INN)
D09982	Ulimorelin hydrochloride (USAN)
D09984	Urelumab (USAN/INN) Monoclonal antibody
D09988	Vapreotide acetate (USAN)
D09989	Vardenafil hydrochloride (USP)
D09990	Vidupiprant (USAN/INN)
D09991	Vipadenant (USAN/INN)
D09992	Vismodegib (USAN/INN) &lt;US&gt;
D09994	Selexipag (JAN/USAN/INN) &lt;JP/US&gt;
D09996	Vemurafenib (JAN/USAN/INN) &lt;JP/US&gt;
D09997	Cariprazine (USAN/INN)
D09998	Epoetin beta pegol (genetical recombination) (JAN) &lt;JP/US&gt;
D10000	Epoetin epsilon (INN)
D10001	Fingolimod (INN)
D10003	Hemin (JAN) &lt;JP/US&gt;
D10004	Emricasan (USAN/INN)
D10006	Eplivanserin (USAN/INN)
D10008	Fispemifene (USAN/INN)
D10012	Incobotulinumtoxin A (JAN/USAN) &lt;US&gt;
D10013	Indibulin (USAN/INN)
D10014	Ioflupane I 123 (USAN) &lt;JP/US&gt;
D10016	Lonaprisan (USAN/INN)
D10017	Naproxen etemesil (USAN)
D10018	Necitumumab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D10019	Panobinostat lactate (JAN) &lt;JP/US&gt;
D10020	Olodaterol hydrochloride (JAN/USAN) &lt;US&gt;
D10022	Pexacerfont (USAN/INN)
D10023	Pexelizumab (USAN/INN) Monoclonal antibody
D10024	Selumetinib sulfate (JAN/USAN)
D10025	Semaglutide (USAN/INN) &lt;JP/US&gt;
D10026	Tosedostat (USAN/INN)
D10027	Udenafil (USAN/INN)
D10028	Valategrast hydrochloride (USAN)
D10029	Verubulin (USAN/INN)
D10030	Verubulin hydrochloride (USAN)
D10031	Zalutumumab (USAN/INN) Monoclonal antibody
D10055	Remogliflozin etabonate (USAN/INN)
D10056	Robatumumab (USAN/INN) Monoclonal antibody
D10060	Abexinostat (USAN)
D10061	Brodalumab (USAN) &lt;JP/US&gt; Monoclonal antibody
D10062	Cabozantinib (USAN)
D10063	Cenderitide (USAN)
D10064	Dabrafenib (USAN)
D10069	Fiboflapon (USAN)
D10070	Iofolastat I 123 (USAN)
D10071	Ixekizumab (USAN) &lt;JP/US&gt; Monoclonal antibody
D10072	Levomilnacipran (USAN/INN)
D10073	Lexibulin (USAN)
D10074	Narnatumab (USAN) Monoclonal antibody
D10075	Navarixin (USAN)
D10076	Olcorolimus (USAN)
D10078	Peginterferon lambda-1a (USAN)
D10079	Rucaparib (USAN/INN)
D10080	Sirukumab (USAN) Monoclonal antibody
D10082	Suvorexant (JAN/USAN) &lt;JP/US&gt;
D10083	Tabalumab (USAN) Monoclonal antibody
D10084	Abexinostat hydrochloride (USAN)
D10085	Alisertib (USAN)
D10086	Alisertib sodium (USAN)
D10088	Amitifadine (USAN)
D10089	Amitifadine hydrochloride (USAN)
D10090	Amonafide (USAN)
D10091	Amonafide l-malate (USAN)
D10094	Blosozumab (USAN) Monoclonal antibody
D10095	Cabozantinib s-malate (USAN) &lt;JP/US&gt;
D10099	Cerlapirdine (USAN)
D10100	Cerlapirdine hydrochloride (USAN)
D10102	Crenolanib (USAN)
D10103	Crenolanib besylate (USAN)
D10104	Dabrafenib mesylate (USAN) &lt;JP/US&gt;
D10106	Dalantercept (USAN)
D10107	Dasolampanel (USAN)
D10108	Dasolampanel etibutil (USAN)
D10109	Dasolampanel etibutil tosylate (USAN)
D10110	Delanzomib (USAN)
D10111	Dexmecamylamine (USAN)
D10112	Dexmecamylamine hydrochloride (USAN)
D10114	Drisapersen (USAN) Antisense oligonucleotide
D10115	Drisapersen sodium (JAN/USAN) Antisense oligonucleotide
D10117	Epelsiban (USAN)
D10118	Epelsiban besylate (USAN)
D10119	Sonidegib (USAN/INN)
D10120	Esomeprazole strontium (USAN) &lt;US&gt;
D10121	Evacetrapib (USAN)
D10122	Fiboflapon sodium (USAN)
D10123	Ficlatuzumab (USAN) Monoclonal antibody
D10125	Galeterone (USAN)
D10126	Ganetespib (USAN)
D10128	Irdabisant (USAN)
D10129	Irdabisant hydrochloride (USAN)
D10130	Ixazomib (USAN)
D10131	Ixazomib citrate (JAN/USAN) &lt;JP/US&gt;
D10133	Levomilnacipran hydrochloride (USAN) &lt;US&gt;
D10134	Lumacaftor (USAN)
D10135	Macitentan (JAN/USAN) &lt;JP/US&gt;
D10136	Mapracorat (USAN)
D10137	Regorafenib hydrate (JAN) &lt;JP/US&gt;
D10138	Regorafenib (USAN/INN)
D10140	Niraparib (USAN) &lt;US&gt;
D10141	Oclacitinib (USAN)
D10142	Oclacitinib maleate (USAN)
D10145	Olodaterol (USAN/INN)
D10146	Orteronel (JAN/USAN)
D10147	Pasireotide (USAN)
D10150	Pegnivacogin sodium (USAN) RNA aptamer
D10152	Prucalopride succinate (USAN) &lt;US&gt;
D10154	Rigosertib (USAN)
D10155	Rigosertib sodium (JAN/USAN)
D10156	Romosozumab (USAN) &lt;JP/US&gt; Monoclonal antibody
D10157	Rucaparib phosphate (USAN)
D10158	Safinamide (USAN/INN)
D10161	Sarilumab (USAN) &lt;JP/US&gt; Monoclonal antibody
D10162	Samidorphan (USAN)
D10163	Samidorphan l-malate (USAN)
D10164	Sepantronium bromide (JAN/USAN)
D10168	Tanzisertib (USAN)
D10170	Tedatioxetine (USAN)
D10171	Tedatioxetine hydrobromide (USAN)
D10172	Teriflunomide (USAN) &lt;US&gt;
D10173	Tivantinib (JAN/USAN/INN)
D10174	Tozadenant (USAN)
D10175	Trametinib (USAN)
D10176	Trametinib dimethyl sulfoxide (JAN/USAN) &lt;JP/US&gt;
D10177	Trebananib (USAN)
D10178	Trelagliptin (USAN)
D10179	Trelagliptin succinate (JAN/USAN) &lt;JP&gt;
D10180	Umeclidinium (USAN)
D10181	Umeclidinium bromide (JAN/USAN) &lt;JP&gt;
D10182	Volasertib (USAN)
D10183	Volasertib trihydrochloride (USAN)
D10184	Vortioxetine (USAN)
D10185	Vortioxetine hydrobromide (JAN/USAN) &lt;JP/US&gt;
D10186	Bitopertin (JAN/USAN)
D10187	Pateclizumab (USAN) Monoclonal antibody
D10188	Naldemedine (USAN/INN)
D10189	Pictilisib (USAN)
D10190	Tivozanib hydrochloride (USAN)
D10191	Safinamide mesylate (USAN) &lt;JP/US&gt;
D10194	Remimazolam besylate (USAN) &lt;JP&gt;
D10195	Luseogliflozin hydrate (JAN) &lt;JP&gt;
D10196	Ipragliflozin (INN) &lt;US&gt;
D10198	Calcipotriol hydrate (JAN) &lt;US&gt;
D10199	Tapentadol hydrochloride (JAN) &lt;JP/US&gt;
D10200	Ipragliflozin L-proline (JAN) &lt;JP&gt;
D10202	Bafetinib (USAN)
D10203	Trabedersen (INN/BAN) Antisense oligonucleotide
D10218	Enzalutamide (JAN/USAN) &lt;JP/US&gt;
D10219	Abediterol (USAN/INN)
D10220	Abediterol napadisylate (USAN)
D10221	Enobosarm (USAN)
D10222	Gemcitabine elaidate (USAN/INN)
D10223	Ibrutinib (JAN/USAN) &lt;JP/US&gt;
D10224	Golvatinib (USAN)
D10225	Sacubitril (JAN/USAN/INN)
D10228	Amifampridine (USAN/INN) &lt;US&gt;
D10229	Masitinib (INN)
D10230	Quifenadine (INN)
D10242	Lipegfilgrastim (USAN)
D10254	Esflurbiprofen (JAN)
D10255	Anagrelide hydrochloride hydrate (JAN) &lt;JP/US&gt;
D10262	Saxagliptin hydrochloride &lt;US&gt;
D10304	Aladorian (USAN/INN)
D10305	Aladorian sodium (USAN)
D10308	Baricitinib (JAN/USAN/INN) &lt;JP/US&gt;
D10309	Brexpiprazole (JAN/USAN/INN) &lt;JP/US&gt;
D10310	Balugrastim (USAN/INN)
D10313	Ertugliflozin (USAN/INN)
D10315	Momelotinib (USAN/INN)
D10316	Nivolumab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D10317	Omarigliptin (JAN/USAN/INN) &lt;JP&gt;
D10318	Oprozomib (USAN/INN)
D10319	Panobinostat (USAN/INN)
D10320	Placulumab (USAN/INN) Monoclonal antibody
D10321	Quisinostat (USAN/INN)
D10322	Quisinostat hydrochloride (USAN)
D10324	Patidegib (USAN)
D10325	Patidegib hydrochloride (USAN)
D10326	Setipiprant (USAN/INN)
D10329	Zicronapine (USAN/INN)
D10330	Camicinal (USAN/INN)
D10331	Ozanezumab (USAN) Monoclonal antibody
D10332	Elubrixin (USAN)
D10333	Elosulfase alfa (USAN) &lt;JP/US&gt; Enzyme replacement therapy product
D10334	Rebastinib (USAN)
D10335	Alirocumab (USAN) &lt;JP/US&gt; Monoclonal antibody
D10336	Fasiglifam (USAN/INN)
D10338	Lasmiditan (USAN/INN)
D10341	Vorsetuzumab mafodotin (USAN/INN) Antibody-drug conjugate
D10342	Vorsetuzumab (USAN/INN) Monoclonal antibody
D10344	Nelipepimut-S (USAN)
D10345	Filorexant (USAN)
D10347	Ramatercept (USAN)
D10349	Bevenopran (USAN/INN)
D10352	Dusigitumab (USAN) Monoclonal antibody
D10353	Demcizumab (USAN/INN) Monoclonal antibody
D10354	Dupilumab (USAN) &lt;JP/US&gt; Monoclonal antibody
D10355	Aripiprazole cavoxil (USAN)
D10356	Inclacumab (USAN/INN) Monoclonal antibody
D10358	Momelotinib dihydrochloride (USAN)
D10362	Evodenoson (USAN)
D10364	Aripiprazole lauroxil (USAN) &lt;US&gt;
D10365	Gandotinib (USAN)
D10367	Etirinotecan pegol (USAN/INN)
D10368	Entolimod (USAN)
D10370	Mavatrep (USAN)
D10371	Methylsamidorphan (USAN)
D10372	Palbociclib (JAN/USAN) &lt;JP/US&gt;
D10374	Lifitegrast (USAN/INN) &lt;US&gt;
D10375	Naloxegol oxalate (USAN) &lt;US&gt;
D10377	Sebelipase alfa (USAN) &lt;JP/US&gt; Enzyme replacement therapy product
D10378	Vercirnon (USAN/INN)
D10379	Vercirnon sodium (USAN)
D10381	Afuresertib (USAN)
D10382	Afuresertib hydrochloride (USAN)
D10383	Aldoxorubicin (USAN)
D10384	Aldoxorubicin Hydrochloride (USAN)
D10386	Cindunistat (USAN/INN)
D10387	Danirixin (USAN/INN)
D10390	Pidilizumab (USAN) Monoclonal antibody
D10391	Telmapitant (USAN)
D10392	Lifitegrast sodium (USAN)
D10395	Nesvacumab (USAN) Monoclonal antibody
D10396	Nintedanib esylate (USAN) &lt;JP/US&gt;
D10397	Rabusertib (USAN/INN)
D10399	Rebastinib Tosylate (USAN)
D10400	Tildrakizumab (USAN) &lt;US&gt; Monoclonal antibody
D10403	Eluxadoline (USAN) &lt;US&gt;
D10404	Eldelumab (USAN) Monoclonal antibody
D10405	Cobimetinib (USAN/INN)
D10410	Vantictumab (USAN) Monoclonal antibody
D10411	Tovetumab (USAN) Monoclonal antibody
D10413	Pevonedistat (USAN)
D10416	Belnacasan (USAN)
D10418	Delparantag pentahydrochloride (USAN)
D10419	Cindunistat hydrochloride maleate (USAN)
D10420	Elubrixin tosylate (USAN)
D10422	Etirinotecan pegol tetrahydrochloride (USAN)
D10423	Ilorasertib (USAN)
D10424	Lasmiditan succinate (JAN/USAN) &lt;US&gt;
D10426	Pimasertib (USAN/INN)
D10427	Etirinotecan pegol tetratriflutate (USAN)
D10429	Tergenpumatucel-L (USAN) Cellular therapy product
D10430	Treprostinil diolamine (USAN)
D10431	Ulodesine (USAN)
D10432	Ulodesine succinate (USAN)
D10433	Vibegron (JAN/USAN) &lt;JP&gt;
D10434	Vintafolide (USAN/INN)
D10436	Cebranopadol (USAN/INN)
D10437	Galunisertib (USAN)
D10438	Guselkumab (USAN) &lt;JP/US&gt; Monoclonal antibody
D10439	Imgatuzumab (USAN/INN) Monoclonal antibody
D10440	Lampalizumab (USAN/INN) Monoclonal antibody
D10441	Latanoprostene bunod (USAN/INN) &lt;US&gt;
D10443	Liafensine (USAN)
D10444	Lirilumab (USAN/INN) Monoclonal antibody
D10446	Margetuximab (USAN) Monoclonal antibody
D10450	Alectinib hydrochloride (JAN) &lt;JP/US&gt;
D10452	Cabazitaxel acetonate (JAN) &lt;JP/US&gt;
D10456	Delcasertib (USAN/INN)
D10457	Delcasertib acetate (USAN)
D10459	Empagliflozin (JAN/USAN/INN) &lt;JP/US&gt;
D10460	Enoticumab (USAN/INN) Monoclonal antibody
D10463	Ripasudil hydrochloride hydrate (JAN) &lt;JP&gt;
D10464	Firtecan pegol (USAN/INN)
D10465	Golvatinib tartrate (USAN)
D10466	Vonoprazan fumarate (JAN/USAN) &lt;JP&gt;
D10470	Strychnine nitrate
D10471	Idraparinux sodium (USAN)
D10473	Insulin peglispro (USAN/INN)
D10476	Lusutrombopag (JAN/USAN/INN) &lt;JP/US&gt;
D10478	Naldemedine tosylate (JAN/USAN) &lt;JP/US&gt;
D10479	Naloxegol (USAN/INN)
D10481	Nintedanib (USAN/INN)
D10482	Ocaratuzumab (USAN/INN) Monoclonal antibody
D10483	Peginterferon beta-1a (USAN/INN) &lt;US&gt;
D10484	Pegnivacogin (USAN) RNA aptamer
D10486	Pimasertib hydrochloride (USAN)
D10487	Rivipansel (USAN/INN)
D10488	Serelaxin (USAN/INN)
D10493	Trabodenoson (USAN/INN)
D10494	Vesencumab (USAN/INN) Monoclonal antibody
D10495	Zicronapine succinate (USAN)
D10497	Pasireotide diaspartate &lt;US&gt;
D10502	Gemigliptin (prop.INN)
D10510	Sequifenadine
D10514	Dacomitinib (USAN) &lt;JP/US&gt;
D10515	Zoledronic acid hemipentahydrate (JAN)
D10516	Aripiprazole hydrate (JAN) &lt;JP/US&gt;
D10528	Aldosterone (INN)
D10529	Paraoxon
D10540	Abrilumab (USAN/INN) Monoclonal antibody
D10542	Alectinib (USAN/INN)
D10543	Apitolisib (USAN/INN)
D10545	Batefenterol (USAN)
D10546	Batefenterol succinate (USAN)
D10551	Ceritinib (JAN/USAN/INN) &lt;JP/US&gt;
D10552	Dactolisib (USAN/INN)
D10555	Duvelisib (USAN/INN) &lt;US&gt;
D10556	Fimasartan (INN)
D10557	Evolocumab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D10560	Idelalisib (JAN/USAN/INN) &lt;US&gt;
D10562	Macimorelin acetate (USAN) &lt;US&gt;
D10563	Macimorelin (USAN)
D10565	Pefcalcitol (JAN/USAN/INN)
D10566	Pasireotide pamoate (JAN) &lt;JP&gt;
D10567	Fasiglifam hydrate (JAN)
D10568	Pitavastatin calcium hydrate (JP17) &lt;JP&gt;
D10574	Pembrolizumab (USAN) &lt;JP/US&gt; Monoclonal antibody
D10584	Buparlisib (USAN/INN)
D10585	Decernotinib (USAN/INN)
D10593	Roxadustat (JAN/USAN/INN) &lt;JP&gt;
D10594	Rovatirelin hydrate (JAN)
D10595	Asfotase alfa (USAN/INN) &lt;JP/US&gt; Enzyme replacement therapy product
D10596	Pemetrexed sodium hemipentahydrate (JAN)
D10604	Binimetinib (JAN/USAN) &lt;JP/US&gt;
D10606	Raloxifene hydrochloride hydrate (JAN) &lt;JP&gt;
D10609	Buparlisib hydrochloride (JAN/USAN)
D10612	Benzhydrocodone (USAN/INN)
D10613	Bradanicline (USAN/INN)
D10614	Briciclib (USAN/INN)
D10615	Cobimetinib fumarate (USAN) &lt;US&gt;
D10616	Dactolisib tosylate (USAN)
D10617	Dagrocorat (USAN/INN)
D10618	Defactinib (USAN/INN)
D10619	Defactinib hydrochloride (USAN)
D10620	Bimagrumab (JAN/USAN/INN) Monoclonal antibody
D10621	Bococizumab (USAN/INN) Monoclonal antibody
D10626	Encenicline (USAN/INN)
D10627	Esketamine hydrochloride (JAN/USAN) &lt;US&gt;
D10628	Esuberaprost (USAN/INN)
D10630	Fedratinib (USAN/INN)
D10631	Fevipiprant (JAN/USAN/INN)
D10633	Finerenone (JAN/USAN/INN)
D10634	Fosdagrocorat (USAN/INN)
D10635	Gedatolisib (USAN/INN)
D10636	Glasdegib (USAN/INN)
D10638	Grapiprant (USAN/INN)
D10640	Indoximod (USAN/INN)
D10641	Ipatasertib (USAN/INN)
D10642	Irinotecan sucrosofate (USAN)
D10646	Luminespib (USAN/INN)
D10647	Luminespib mesylate (USAN)
D10648	Methylsamidorphan chloride (USAN/INN)
D10652	Palbociclib isethionate (USAN)
D10653	Peficitinib (USAN/INN)
D10654	Pevonedistat hydrochloride (JAN/USAN)
D10656	Polmacoxib (USAN/INN)
D10657	Pradigastat sodium (USAN)
D10658	Ralimetinib (USAN/INN)
D10659	Ralimetinib mesylate (USAN)
D10660	Relamorelin (USAN/INN)
D10661	Ricolinostat (USAN/INN)
D10662	Rimegepant (USAN/INN)
D10663	Rimegepant sulfate (USAN) &lt;US&gt;
D10664	Pradigastat (USAN)
D10669	Sotagliflozin (USAN/INN)
D10671	Taladegib (USAN/INN)
D10673	Ubrogepant (USAN/INN) &lt;US&gt;
D10674	Uprosertib (USAN/INN)
D10675	Valbenazine (USAN/INN)
D10676	Etelcalcetide (USAN/INN)
D10677	Etelcalcetide hydrochloride (JAN/USAN) &lt;JP/US&gt;
D10679	Venetoclax (JAN/USAN/INN) &lt;JP/US&gt;
D10683	Technetium Tc99m trofolastat chloride (USAN/INN)
D10685	Lumacaftor and ivacaftor
D10688	Abemaciclib (JAN/USAN) &lt;JP/US&gt;
D10689	Amifampridine phosphate (USAN) &lt;US&gt;
D10690	Axelopran sulfate (USAN)
D10691	Bempedoic acid (USAN/INN) &lt;US&gt;
D10692	Benzhydrocodone hydrochloride (USAN)
D10693	Bradanicline hydrochloride (USAN)
D10694	Briciclib sodium (USAN)
D10696	Capmatinib (USAN/INN)
D10697	Centanafadine (USAN)
D10698	Centanafadine hydrochloride (USAN)
D10699	Cholic acid (USAN) &lt;US&gt;
D10700	Dasotraline (USAN/INN)
D10701	Deutetrabenazine (USAN/INN) &lt;US&gt;
D10702	Encenicline hydrochloride (USAN)
D10703	Esuberaprost sodium (USAN)
D10709	Gilteritinib (USAN/INN)
D10710	Idalopirdine (USAN/INN)
D10711	Pemafibrate (JAN) &lt;JP&gt;
D10715	Mipsagargin (USAN/INN)
D10716	Motolimod (USAN/INN)
D10717	Napabucasin (JAN/USAN/INN)
D10718	Omipalisib (USAN/INN)
D10719	Onalespib (USAN/INN)
D10721	Peficitinib hydrobromide (JAN/USAN) &lt;JP&gt;
D10725	Ralinepag (USAN/INN)
D10728	Solcitinib (USAN/INN)
D10729	Sonidegib phosphate (USAN) &lt;US&gt;
D10730	Spebrutinib (USAN/INN)
D10731	Spebrutinib besylate (USAN)
D10732	Talazoparib (USAN/INN)
D10733	Talazoparib tosylate (USAN) &lt;US&gt;
D10735	Toreforant (USAN/INN)
D10736	Toreforant tartrate (USAN)
D10737	Verosudil (USAN/INN)
D10738	Verosudil hydrochloride (USAN)
D10739	Verubecestat (JAN/USAN/INN)
D10740	Axelopran (USAN/INN)
D10742	Rolapitant (USAN/INN)
D10747	Idalopirdine hydrochloride (JAN)
D10749	Pitolisant (USAN/INN)
D10758	Turoctocog alfa pegol (genetical recombination) (JAN) &lt;JP&gt;
D10761	Polatuzumab vedotin (USAN) &lt;US&gt; Antibody-drug conjugate
D10766	Osimertinib mesylate (USAN) &lt;JP/US&gt;
D10773	Atezolizumab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D10777	Daratumumab (USAN) &lt;JP&gt; Monoclonal antibody
D10780	Perampanel hydrate (JAN) &lt;JP/US&gt;
D10787	Daunorubicin citrate
D10789	Encenicline hydrochloride hydrate (JAN)
D10790	Mirogabalin besylate (USAN) &lt;JP&gt;
D10791	Nusinersen sodium (JAN) &lt;JP/US&gt; Antisense oligonucleotide
D10794	Patisiran sodium (JAN) &lt;JP/US&gt; RNA interference (RNAi) drug
D10795	Elobixibat hydrate (JAN) &lt;JP&gt;
D10796	Elobixibat (USAN/INN)
D10797	Copanlisib hydrochloride (USAN)
D10798	Copanlisib hydrochloride hydrate (JAN) &lt;US&gt;
D10799	Brilliant blue G (JAN) &lt;US&gt;
D10800	Gilteritinib fumarate (JAN/USAN) &lt;JP/US&gt;
D10803	Plevitrexed (INN)
D10808	Durvalumab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D10811	Fentanyl hydrochloride (JAN)
D10812	Nalmefene hydrochloride hydrate (JAN) &lt;JP&gt;
D10813	Cerliponase alfa (USAN/INN) &lt;JP&gt; Enzyme replacement therapy product
D10817	Avelumab (USAN) &lt;JP/US&gt; Monoclonal antibody
D10819	Aflibercept beta (genetical recombination) (JAN) &lt;JP&gt;
D10820	Olipudase alfa (INN) Enzyme replacement therapy product
D10821	Emicizumab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D10823	Clopidogrel hydrochloride
D10824	Clopidogrel besilate
D10825	Opicapone (JAN/USAN/INN) &lt;US&gt;
D10829	Rasagiline tartrate
D10843	Alipogene tiparvovec (INN) Gene therapy product
D10845	Conestat alfa (INN) &lt;US&gt;
D10846	Epoetin theta (INN)
D10847	Epoetin zeta (INN)
D10853	Desfesoterodine (INN)
D10858	Rociletinib (USAN/INN)
D10859	Olmutinib (USAN/INN)
D10862	Altiratinib (USAN)
D10865	Bexagliflozin (USAN)
D10866	Brigatinib (JAN/USAN) &lt;US&gt;
D10867	Copanlisib (USAN/INN)
D10870	Dasotraline hydrochloride (USAN)
D10871	Filgotinib (USAN/INN)
D10872	Filgotinib hydrochloride (USAN)
D10873	Crisaborole (USAN/INN) &lt;US&gt;
D10874	Daprodustat (JAN/USAN/INN)
D10876	Enclomiphene citrate (USAN)
D10881	Nusinersen (USAN/INN) Antisense oligonucleotide
D10883	Ribociclib (USAN/INN)
D10885	Abaloparatide (USAN/INN) &lt;US&gt;
D10888	Relugolix (JAN/INN) &lt;JP&gt;
D10889	Momelotinib hydrochloride hydrate (JAN)
D10890	Difelikefalin acetate (JAN)
D10892	Esaxerenone (JAN/INN) &lt;JP&gt;
D10893	Acalabrutinib (JAN/USAN/INN) &lt;US&gt;
D10895	Fosaprepitant (INN)
D10896	Pomaglumetad methionil (INN)
D10898	Neratinib maleate &lt;US&gt;
D10901	Enasidenib (USAN/INN)
D10902	Afasevikumab (USAN/INN) Monoclonal antibody
D10903	Amcasertib (USAN/INN)
D10904	Amiselimod hydrochloride (USAN)
D10905	Amiselimod (USAN/INN)
D10907	Baliforsen (USAN) Antisense oligonucleotide
